plot_id;x;y
A_00001;329356.64;4713290.83
A_00002;329467.64;4713350.83
A_00003;328846.67;4713159.8
A_00004;327103.75;4713396.67
A_00005;326816.76;4712856.67
A_00006;326970.76;4712939.68
A_00007;327260.74;4712897.7
A_00008;327869.72;4713016.73
A_00009;328555.68;4712856.79
A_00010;328706.68;4712875.8
A_00011;328582.68;4712602.8
A_00012;328383.69;4712546.79
A_00013;328303.7;4712830.77
A_00014;326545.78;4712746.66
A_00015;327080.75;4713020.68
A_00016;330491.62;4714973.84
A_00017;330767.62;4715174.84
A_00018;329931.62;4714041.84
A_00019;327540.73;4712996.71
A_00020;326790.77;4713180.65
A_00021;329325.65;4713147.83
A_00022;329056.66;4713216.81
A_00023;329475.64;4712800.85
A_00024;329585.64;4712947.85
A_00025;329563.63;4713154.85
A_00026;329185.65;4713050.82
A_00027;329160.65;4713167.82
A_00028;331210.63;4715001.85
A_00029;331228.63;4715211.85
A_00030;331737.65;4714865.87
A_00031;331818.65;4715366.86
A_00032;330531.61;4715223.83
A_00033;330375.61;4715241.83
A_00034;330077.61;4714867.83
A_00035;330195.61;4714996.83
A_00036;329590.62;4714323.82
A_00037;328745.67;4712976.8
A_00038;328523.69;4712255.81
A_00039;328219.7;4712383.78
A_00040;328436.69;4712720.78
A_00041;328225.7;4712907.76
A_00042;338784.85;4716219.98
A_00043;339491.85;4716433.99
A_00044;339108.85;4716367.98
A_00045;338392.84;4716226.97
A_00046;338205.83;4716307.97
A_00047;337995.82;4716172.97
A_00048;336055.74;4716868.91
A_00049;336138.75;4716908.91
A_00050;336363.76;4716701.92
A_00051;336386.76;4716493.93
A_00052;336945.78;4716453.94
A_00053;337235.79;4716439.95
A_00054;338408.83;4716520.97
A_00055;338655.84;4716522.97
A_00056;337566.81;4716247.96
A_00057;339151.85;4716622.98
A_00058;339551.85;4716605.99
A_00059;339318.84;4716735.98
A_00060;338944.84;4716696.97
A_00061;337395.8;4716364.95
A_00062;335955.75;4716585.92
A_00063;335570.74;4716492.91
A_00064;335369.73;4716335.91
A_00065;335588.75;4716031.93
A_00066;339305.96;4711934.09
A_00067;340030.94;4713046.07
A_00068;340502.94;4713060.08
A_00069;340919.94;4713186.09
A_00070;340817.93;4713336.09
A_00071;336396.78;4715923.94
A_00072;336181.78;4715575.95
A_00073;336252.79;4715138.96
A_00074;336289.79;4715138.96
A_00075;336260.81;4714160.98
A_00076;337878.83;4715626.98
A_00077;337170.8;4715865.96
A_00078;337658.82;4715692.97
A_00079;339078.86;4715970.99
A_00080;336927.79;4715914.95
A_00081;336820.79;4715967.95
A_00082;336646.78;4716165.94
A_00083;337119.79;4716274.95
A_00084;337306.8;4716151.95
A_00085;335047.71;4716965.89
A_00086;335273.72;4716964.9
A_00087;335514.73;4716978.9
A_00088;335713.74;4716930.86
A_00089;335836.74;4716995.91
A_00090;337267.8;4715969.96
A_00091;337422.81;4716020.96
A_00092;337754.82;4715933.97
A_00093;338147.84;4715914.98
A_00094;338402.84;4716041.98
A_00095;337572.8;4716439.95
A_00096;325701.82;4712186.63
A_00097;324825.86;4712205.57
A_00098;323456.95;4712023.48
A_00099;326144.78;4713261.79
A_00100;326887.76;4713235.66
A_00101;327390.74;4712598.72
A_00102;326463.78;4712444.67
A_00103;322701;4712334.41
A_00104;323834.96;4717468.26
A_00105;323896.95;4717933.24
A_00106;324367.91;4717653.29
A_00107;324741.89;4718822.28
A_00108;324624.9;4719110.26
A_00109;324613.87;4711875.58
A_00110;325973.8;4712076.66
